Index_0,Technical_Name,Pretty_Name
s,shelves_polyfon,Bookcase
s,shelves_silo,Bookcase
s,table_polyfon_small,Small Coffee Table
s,chair_polyfon,Dining Chair
s,table_norja_med,Beige Coffee Table
s,table_silo_med,Gray Coffee Table
s,table_plasto_4leg,Occasional Table
s,table_plasto_round,Round Dining Table
s,table_plasto_bigsquare,Square Dining Table
s,stand_polyfon_z,Z Shelf
s,chair_silo,Gray Dining Chair
s,sofa_silo,Gray Sofa
s,couch_norja,Beige Bench
s,chair_norja,Beige Chair
s,table_polyfon_med,Large Coffee Table
s,doormat_love,Doormat
s,doormat_plain,Doormat
s,sofachair_polyfon,Aquamarine Armchair
s,sofa_polyfon,Aquamarine Sofa
s,sofachair_silo,Gray Armchair
s,chair_plasty,Plastic Pod Chair
s,chair_plasto,Chair
s,table_plasto_square,Occasional Table
s,bed_polyfon,Aquamarine Double Bed
s,bed_polyfon_one,Aquamarine Single Bed
s,bed_trad_one,Plain Single Bed
s,bed_trad,Plain Double Bed
s,bed_silo_one,Single Bed
s,bed_silo_two,Double Bed
s,table_silo_small,Gray Occasional Table
s,bed_armas_two,Double Bed
s,bed_budget_one,Aquamarine Single Bed
s,bed_budget,Plain Double Bed
s,shelves_armas,Bookcase
s,bench_armas,Bench
s,table_armas,Dining Table
s,small_table_armas,Occasional Table
s,small_chair_armas,Stool
s,fireplace_armas,Fireplace
s,lamp_armas,Table Lamp
s,bed_armas_one,Single Bed
s,carpet_standard,Floor rug
s,carpet_armas,Hand-Woven Rug
s,carpet_polar,Faux-Fur Bear Rug
s,fireplace_polyfon,Fireplace
s,table_plasto_4leg*1,Occasional Table
s,table_plasto_bigsquare*1,Square Dining Table
s,table_plasto_round*1,Round Dining Table
s,table_plasto_square*1,Occasional Table
s,chair_plasto*1,Chair
s,carpet_standard*1,Floor Rug
s,doormat_plain*1,Doormat
s,table_plasto_4leg*2,Occasional Table
s,table_plasto_bigsquare*2,Square Dining Table
s,table_plasto_round*2,Round Dining Table
s,table_plasto_square*2,Occasional Table
s,chair_plasto*2,Chair
s,doormat_plain*2,Doormat
s,carpet_standard*2,Floor Rug
s,table_plasto_4leg*3,Occasional Table
s,table_plasto_bigsquare*3,Square Dining Table
s,table_plasto_round*3,Round Dining Table
s,table_plasto_square*3,Occasional Table
s,chair_plasto*3,Chair
s,carpet_standard*3,Floor Rug
s,doormat_plain*3,Doormat
s,table_plasto_4leg*4,Square Dining Table
s,table_plasto_bigsquare*4,Square Dining Table
s,table_plasto_round*4,Round Dining Table
s,table_plasto_square*4,Occasional Table
s,chair_plasto*4,Chair
s,carpet_standard*4,Floor Rug
s,doormat_plain*4,Doormat
s,doormat_plain*6,Doormat
s,doormat_plain*5,Doormat
s,carpet_standard*5,Floor Rug
s,table_plasto_4leg*5,Occasional Table
s,table_plasto_bigsquare*5,Square Dining Table
s,table_plasto_round*5,Round Dining Table
s,table_plasto_square*5,Occasional Table
s,chair_plasto*5,Chair
s,table_plasto_4leg*6,Occasional Table
s,table_plasto_bigsquare*6,Square Dining Table
s,table_plasto_round*6,Round Dining Table
s,table_plasto_square*6,Occasional Table
s,chair_plasto*6,Chair
s,table_plasto_4leg*7,Occasional Table
s,table_plasto_bigsquare*7,Square Dining Table
s,table_plasto_round*7,Round Dining Table
s,table_plasto_square*7,Occasional Table
s,chair_plasto*7,Chair
s,table_plasto_4leg*8,Occasional Table
s,table_plasto_bigsquare*8,Square Dining Table
s,table_plasto_round*8,Round Dining Table
s,table_plasto_square*8,Occasional Table
s,chair_plasto*8,Chair
s,table_plasto_4leg*9,Occasional Table
s,table_plasto_bigsquare*9,Square Dining Table
s,table_plasto_round*9,Round Dining Table
s,chair_plasto*9,Chair
s,carpet_standard*6,Floor Rug
s,chair_plasty*1,Plastic Pod Chair
s,pizza,Pizza Box
s,drinks,Empty Cans
s,chair_plasty*2,Plastic Pod Chair
s,chair_plasty*3,Plastic Pod Chair
s,chair_plasty*4,Plastic Pod Chair
s,bar_polyfon,Mini-bar
s,plant_cruddy,Aloe Vera
s,bottle,Empty Spinning Bottle
s,bardesk_polyfon,Aquamarine Bar
s,bardeskcorner_polyfon,Aquamarine Corner
s,floortile,Floor Tile
s,bar_armas,Barrel Minibar
s,bartable_armas,Bar
s,bar_chair_armas,Barrel Stool
s,carpet_soft,Soft Wool Rug
s,carpet_soft*1,Soft Wool Rug
s,carpet_soft*2,Soft Wool Rug
s,carpet_soft*3,Soft Wool Rug
s,carpet_soft*4,Soft Wool Rug
s,carpet_soft*5,Soft Wool Rug
s,carpet_soft*6,Soft Wool Rug
s,red_tv,Portable TV
s,wood_tv,Large TV
s,carpet_polar*1,Pink Faux-Fur Bear Rug
s,chair_plasty*5,Plastic Pod Chair
s,carpet_polar*2,Arctic Bear Rug
s,carpet_polar*3,Faux-Fur Bear Rug
s,carpet_polar*4,Faux-Fur Bear Rug
s,chair_plasty*6,Plastic Pod Chair
s,table_polyfon,Large Table
s,smooth_table_polyfon,Large Dining Table
s,sofachair_polyfon_girl,Pink Armchair
s,bed_polyfon_girl_one,Pink Single Bed
s,bed_polyfon_girl,Pink Double Bed
s,sofa_polyfon_girl,Pink Sofa
s,bed_budgetb_one,White Single Bed
s,bed_budgetb,Plain Double Bed
s,plant_pineapple,Pineapple Plant
s,plant_fruittree,Cherry Tree
s,plant_small_cactus,Small Cactus
s,plant_bonsai,Bonsai Tree
s,plant_big_cactus,Mature Cactus
s,plant_yukka,Yucca Plant
s,carpet_standard*7,Floor Rug
s,carpet_standard*8,Floor Rug
s,carpet_standard*9,Floor Rug
s,carpet_standard*10,Floor Rug
s,carpet_standard*11,Floor Rug
s,plant_sunflower,Cut Sunflower
s,plant_rose,Cut Roses
s,tv_luxus,Digital TV
s,bath,Bubble Bath
s,sink,Sink
s,toilet,Blue Loo Seat
s,duck,Rubber Duck
s,tile,Blue Floor Tiles
s,toilet_red,Pink Loo Seat
s,toilet_yell,Yellow Loo Seat
s,tile_red,Pink Floor Tiles
s,tile_yell,Yellow Floor Tiles
s,prize1,Gold Trophy
s,prize2,Silver Trophy
s,present_gen,Gift
s,present_gen1,Gift
s,present_gen2,Gift
s,present_gen3,Gift
s,present_gen4,Gift
s,present_gen5,Gift
s,present_gen6,Gift
s,bar_basic,Pura Minibar
s,shelves_basic,pura shelves
s,soft_sofachair_norja,Beige Sofachair
s,soft_sofa_norja,Beige Sofa
s,lamp_basic,Pura lamp
s,lamp2_armas,Lodge candle
s,fridge,Pura Refrigerator
s,door,Telephone Box
s,doorB,Wardrobe
s,doorC,Portaloo
s,pumpkin,Pumpkin Lamp
s,skullcandle,Skull Candle Holder
s,deadduck,Bloody Duck
s,deadduck2,Skeleduck
s,deadduck3,Gory Duck
s,menorah,Menorah
s,pudding,Holiday Pudding
s,ham,Joint of Ham
s,turkey,Roast turkey
s,xmasduck,Christmas Duck
s,house,Gingerbread House
s,triplecandle,Electric Candles
s,tree3,Christmas tree 2
s,tree4,Christmas tree 1
s,tree5,Christmas tree 3
s,ham2,Eaten ham
s,wcandleset,White Candles
s,statue,Cupid Statue
s,heart,Giant Heart
s,valeduck,Valentine's Duck
s,heartsofa,Heart Sofa
s,throne,Throne
s,samovar,Russian Samovar
s,giftflowers,Vase of Flowers
s,habbocake,Habbo Cake
s,hologram,Holoboy
s,easterduck,Wannabe Duck
s,bunny,Squidgy Bunny
s,basket,Basket of eggs
s,birdie,Pop-Up Chicken
s,edice,Holodice
s,prize3,Bronze Trophy
s,divider_poly3,Aquamarine Gate
s,divider_arm1,Corner Plinth
s,divider_arm2,Room Divider
s,divider_arm3,Gate (lockable)
s,divider_nor1,Beige Corner
s,divider_silo1,Gray Corner Shelf
s,divider_nor2,Beige Bar
s,divider_silo2,Screen
s,divider_nor3,Beige Gate
s,divider_silo3,Gray Gate
s,typingmachine,Typewriter
s,spyro,Dragon Egg
